,Unnamed: 0,title,salary,description,remote,city,state
0,0,Data Scientist,,"Experience with eCommerce data analysis is a plus.Strong presentation skills, with the ability to translate data into business insights.",yes,Delano,CA
1,1,Data Scientist,,,yes,Remote,
2,2,Data Science,,"Experience supporting data scientists across their many specialities, from analytics to machine learning.Support Calm’s Data Science team with clear objectives…",yes,Remote,
3,3,Data Engineer,,Define and execute the data engineering roadmap (e.g. establish an operational data lake and a real-time reporting environment for the operations).,no,Atlanta,GA
4,4,Data Scientist,,"Understands how to break down the data, extract insights, and determine utility within larger data analytic products.",yes,Seattle,WA
5,5,Data Science,,"Utilizes Data for reporting and influencing hiring decisions, while maintaining data integrity.Partner with Coordinators and Recruiters to manage an efficient…",yes,Remote,
6,6,Data Analyst,,"Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external…",yes,Remote,
7,7,Data Analyst,,Contribute to data models and designs for the data warehouse.Our Data Strategy and Operations team is focused on implementing and evolving client's investment…,no,Los Angeles,CA
8,8,Data Scientist,,"Demonstrated professional experience in Tableau, including server administration, server functions, data source creation and maintenance, reporting and…",yes,Cleveland,OH
9,9,Data Science,,,no,South Jordan,UT
10,10,Machine Learning,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.",no,Santa Barbara,CA
11,11,Data Scientist,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,no,Burlingame,CA
12,12,Data Product Associate,,"Proactive communication : Serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…",no,San Francisco,CA
13,13,Data Science,$35 an hour,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…",no,San Francisco,CA
14,14,Data Science,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…",no,Williamsburg,VA
15,15,Data Engineer,,"Experience with data modeling, data warehousing, and building ETL pipelines.Demonstrated strength in data modeling, ETL development, and data warehousing.",no,New York,NY
16,16,Part-Time Student-Smart Connected Factory/Data and Analytics...,,Locates and acquires data from existing data locations as needed to support analytics and reporting.Education focused in data and analytics.,yes,Waterloo,IA
17,17,Data Science,,"Teach undergraduate and graduate courses in statistics, analytics, and data science.Teaching responsibilities may include one or more courses including but not…",no,Marietta,GA
18,18,Data Science,,Position Title Adjunct Lecturer in Data Science.The Data Science Program at the College of William and Mary is recruiting a pool of applicants for possible…,no,Williamsburg,VA
19,19,Data Linguist-I,,Deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.Business level fluency in English.,no,Cambridge,MA
20,20,Data Scientist,,Work closely with data scientists and analysts to design and develop data mining and machine.Distributed data systems such as Hadoop and Spark.,no,Champaign,IL
21,21,Machine Learning,,"Demonstrated expertise in machine learning research.Publication record in relevant conferences (e.g. NeurIPS, ICML, ICLR, AAAI, CVPR, ICCV, ECCV, ACL, EMNLP,…",no,Santa Clara Valley,CA
22,22,Data Analyst,,Use your understanding of the intelligence analysis process as a defense SME to translate complex data science approaches to solutions into meaningful…,yes,Remote,
23,23,Data Science,,Emphasis is on the role of data in developing business strategy.Course explores the use of insights obtained from data to develop solutions to competitive…,yes,Superior,WI
24,24,Data Analyst,,"DUTIES: Discover, analyze and deliver data that applies to various business scenarios and opportunities; develop metrics and present them through quality…",no,Sunnyvale,CA
25,25,Data Science,,Experience in data science relevant to the position description.Research experience in geospatial data science or a similar field is a requirement to start…,yes,Minneapolis,MN
26,26,Data Scientist,,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.Experience with Machine Learning, Statistics, or other data analysis tools and…",yes,Remote,
27,27,Data Scientist,,"To ensure that teams are able to overlap in their working hours and to meet face-to-face when needed, all team members need to live within three hours of a hub.",yes,San Francisco,CA
28,28,Data Scientist,,Experience working with sensitive or personally identifiable data and handling associated governance issues.Analytical or Research experience from any relevant…,yes,Remote,
29,29,Data Scientist,,,no,Seattle,WA
30,30,Artificial Intelligence Researcher,,"Ericsson Research is looking for highly motivated and hardworking Artificial Intelligence Researchers, bringing AI & Machine Learning to mobile networks.",no,Santa Clara,CA
31,31,Data Scientist,,Drive data engineering priorities that enable analytical and modeling success.F2 builds & supports all things payments and financial services experiences at…,yes,Remote,
32,32,Data Science,,Candidates should in addition be prepared to take full advantage of the rich array of resources at the UW for research and teaching in data science as well as…,no,Seattle,WA
33,33,Machine Learning,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.",no,Santa Barbara,CA
34,34,Data Scientist,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,no,Burlingame,CA
35,35,Data Product Associate,,"Proactive communication : Serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…",no,San Francisco,CA
36,36,Data Science,$35 an hour,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…",no,San Francisco,CA
37,37,Data Analyst,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",no,United States,
38,38,Data Science,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…",no,Williamsburg,VA
39,39,Data Engineer,,"Experience with data modeling, data warehousing, and building ETL pipelines.Demonstrated strength in data modeling, ETL development, and data warehousing.",no,New York,NY
40,40,Data Science,"Up to $92,250 a year","The ideal candidate will be able to lead our efforts at the intersection of data science, data engineering, machine learning, and statistics.",no,Denver,CO
41,41,Data Science,,"Basic and applied research in signal processing, theoretical modeling of physical systems, computational science or data science and deep learning.",no,Austin,TX
42,42,Data Analyst,$15 an hour,This will help our team gather enough data to teach computers to identify the same traits.Additional special projects may be assigned if time allows.,yes,North Carolina,
43,43,"Research Professor and Roux Institute Member (Open Rank), Co...",,"Developing data-driven methods for clinical decision support in broad areas of medicine and healthcare.Developing computational models of disease, constraining…",no,Portland,ME
44,44,Data Science,,Role played by data science in different fields.Understanding the role played by statistical software in data sciences and selecting appropriate software to…,yes,Philadelphia,PA
45,45,Statistician - Part Time,$35 an hour,"Implement best data analyses procedures.Review realistic data collection plans.Create a customized data analysis plan.Max 19 hours per week, hours vary.",no,Rochester,MI
46,46,Data Scientist,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,no,Burlingame,CA
47,47,Data /Software Engineers,,"Working with other software engineers; Experience working with Data Scientists a plus; Experience with data science tools, ML, etc. a plus.",no,Seattle,WA
48,48,Data Scientist,,"BS degree in statistics, machine learning, or data science.MS degree in statistics, machine learning, or data science.",no,United States,
49,49,Data Science,,"Currently a Masters higher education in a related field of study – e.g. Computer science, NLP and ML.We cater to all the flagship products, applications and…",no,Waltham,MA
50,50,"Part-time Faculty Mathematics, Statistics and/or Data Scienc...",,"Part-time Faculty Mathematics, Statistics and/or Data Science Instructor.**Montgomery College accepts applications for Adjunct/Part-time Faculty on a…",no,Montgomery County,MD
