,Unnamed: 0,company,description,salary,title,remote,city,state
0,0,ACI Federal™,5+ years data science analyst experience. Creating and editing/updating data scripts using R for use by TIU. Cyber Threat Intelligence Analysis and Reporting.,$39.38 an hour,Data Science Analyst,no,Falls Church,VA
1,1,Pensa Systems,A solid understanding of data mining & big data techniques. The Data Analyst will be in charge of understanding and operationalising data delivery by sifting…,,Data Analyst,yes,Remote,
2,2,"Forward Air, Inc.",Present information using data visualization techniques. Work with stakeholders throughout the organization to identify opportunities for leveraging company…,"$85,000 - $120,000 a year",Data Scientist,no,Forest Park,GA
3,3,Permanent General Assurance Corp.,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","$76,440 a year",Associate Data Scientist,no,Nashville,TN
4,4,Nova Collective,"Working with raw survey data to produce clean data sets for analysis and reporting. Do you bring a strong background in survey data principles, such as:",$30 - $35 an hour,Data Analyst,no,Chicago,IL
5,5,PCS Global Tech,"Provides plan with data, reporting and analyses that enable data driven decision making. Data science: 1 year (Required). Temporarily due to COVID-19.",,Data Science Opportunities/ Entry Level for Recent Graduates STEM,no,Irvine,CA
6,6,Quality Built,"Support the design of end-to-end data visualizations/Reporting solutions, from data extraction to the presentation, to address the clients’ needs.","$65,000 - $80,000 a year",Reporting and Data Science Analyst,no,Denver,CO
7,7,Central Intelligence Agency,"Work experience related to data engineering, information, and data management. Data Engineers work with data consumers to create and populate optimal data…","$64,137 - $159,286 a year",Data Engineer,no,Washington,DC
8,8,Netflix,We are seeking an experienced Administrative Assistant to provide support to Directors in Data Science and Engineering.,,"Administrative Assistant, Data Science & Engineering",no,Los Gatos,CA
9,9,Atlas Executive Consulting,"User interface design and prototyping data visualizations. 4 years of experience developing, implementing, and supporting the usage of data visualization…","$95,000 a year",Data Visualization Analyst,no,North Charleston,SC
10,10,"Tek-Tree, LLC","Data science: 4 years (Required). One of the scripting language python etc. SQL and PL/SQL development, including code debugging, query analysis and performance…",$65 - $70 an hour,Data Scientist (No Sponsorship Offered),yes,Remote,
11,11,Millennium Software Solutions,"Clustering of mixed event, real time data in order to determine clear operating regimes. The event data is process alarms from a refinery, chemical plant or…",$70 - $75 an hour,Data Scientist,no,West Kingston,RI
12,12,Liberty Mutual Insurance,Gain confidence in skill application using analytics and data science techniques to manipulate large structured and unstructured data sets in order to generate…,"$87,900 - $123,200 a year","Analyst I, Data Science",yes,Remote,
13,13,Booz Allen Hamilton,"Participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…",,Data Science Technical Trainee,no,Beavercreek,OH
14,14,Intellisoft Inc,"Conduct data quality assurance activities, including the identification and resolution of data errors. Master's Degree or higher in statistics, data science,…",$55 - $65 an hour,Data Analyst,no,Atlanta,GA
